lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0098	1196.0	472.0	2335.0	1610.0	621.0	3305.0	5232.0	3306.0	923.0	4970.0	2308.0	2946.0	1833.0	3080.0	597.0	1437.0	1491.0	675.0	1212.0	1245.0	4571.0	1023.0	4524.0	3957.0	636.0	5390.0	6985.0	5902.0	3632.0	4336.0	277.0	459.0	369.0	1972.0	84825.8	1107007.0	1176840.903136
sub-0099	1054.0	737.0	2893.0	1525.0	389.0	3074.0	5070.0	3247.0	1200.0	5258.0	2970.0	3522.0	1861.0	3480.0	799.0	1434.0	2043.0	616.0	1285.0	1378.0	3960.0	1109.0	4669.0	3935.0	889.0	5996.0	8539.0	6075.0	3786.0	4216.0	309.0	504.0	484.0	2304.0	90600.5	1203087.0	1242379.625489
sub-0100	1158.0	512.0	2141.0	1247.0	480.0	3045.0	4242.0	3421.0	958.0	5100.0	2413.0	3077.0	1805.0	3367.0	643.0	1388.0	1771.0	664.0	946.0	1075.0	4387.0	1316.0	5024.0	3308.0	700.0	5618.0	6441.0	5113.0	3926.0	4517.0	275.0	493.0	401.0	2223.0	83160.9	1045851.0	1216651.688087
sub-0101	974.0	624.0	2142.0	1317.0	453.0	3307.0	4433.0	2876.0	726.0	4894.0	2167.0	2493.0	1770.0	2544.0	678.0	1353.0	1204.0	581.0	1087.0	1077.0	3693.0	893.0	4356.0	3496.0	906.0	4945.0	7388.0	5675.0	3369.0	3467.0	254.0	417.0	408.0	1818.0	77788.0	1058038.0	1196463.47549
sub-0102	997.0	424.0	1928.0	1187.0	408.0	2613.0	3794.0	2953.0	771.0	4247.0	2319.0	2592.0	1681.0	3123.0	643.0	1233.0	1282.0	654.0	1085.0	1040.0	3734.0	972.0	4118.0	3178.0	567.0	5389.0	7050.0	4783.0	3364.0	3352.0	259.0	392.0	352.0	1986.0	74460.7	1009785.0	1113051.711489
sub-0103	1299.0	552.0	2337.0	1603.0	450.0	2789.0	4969.0	3295.0	907.0	4907.0	2439.0	2601.0	1722.0	3085.0	538.0	1547.0	1558.0	736.0	1152.0	1397.0	4609.0	975.0	5094.0	4381.0	880.0	5660.0	7512.0	6309.0	4734.0	5343.0	280.0	493.0	600.0	2564.0	89314.8	1189710.0	1457519.582271
sub-0104	834.0	565.0	1918.0	1345.0	321.0	2671.0	3378.0	2657.0	780.0	3818.0	2254.0	2155.0	1549.0	2583.0	595.0	1128.0	1397.0	653.0	986.0	1253.0	3182.0	911.0	3876.0	2855.0	473.0	4000.0	6212.0	4609.0	3457.0	3634.0	201.0	438.0	403.0	2028.0	69066.8	939506.0	1032806.41315
sub-0105	821.0	492.0	1740.0	1343.0	674.0	3120.0	3616.0	3299.0	816.0	4673.0	2439.0	2694.0	1884.0	3200.0	766.0	1191.0	1219.0	757.0	1416.0	1178.0	4228.0	1005.0	5050.0	2685.0	651.0	5805.0	7713.0	4721.0	4248.0	4408.0	262.0	496.0	386.0	2257.0	81248.3	1156230.0	1368828.637901
sub-0106	940.0	477.0	2403.0	1404.0	387.0	2934.0	4631.0	3440.0	1132.0	4747.0	2753.0	2532.0	1905.0	3188.0	548.0	1366.0	1746.0	681.0	1371.0	1141.0	3684.0	1236.0	4464.0	4340.0	501.0	5562.0	7224.0	6016.0	4018.0	4252.0	259.0	476.0	444.0	2338.0	84392.1	1137287.0	1260985.860422
sub-0107	1053.0	681.0	1643.0	1387.0	407.0	2676.0	4561.0	3350.0	822.0	5147.0	2313.0	2647.0	1686.0	3071.0	508.0	1021.0	1914.0	635.0	1518.0	1255.0	3716.0	1014.0	4086.0	3500.0	841.0	5373.0	5724.0	4787.0	3243.0	3479.0	278.0	437.0	322.0	2229.0	77235.4	1056153.0	1228666.712062
